asv_names,sample,group
ASV027,LVM,CP06
ASV027,LVR,CP06
ASV027,PRL,CP06
ASV027,RBL,CP06
ASV028,LVM,CP23
ASV028,LVR,CP23
ASV028,PRL,CP23
ASV028,RBL,CP23
ASV029,LVM,CP00
ASV029,LVR,CP00
ASV029,PRL,CP00
ASV029,RBL,CP00
ASV030,LVM,CP33
ASV030,LVR,CP33
ASV030,PRL,CP33
ASV030,RBL,CP33
ASV031,LVM,CP01
ASV031,LVR,CP01
ASV031,PRL,CP01
ASV031,RBL,CP01
ASV032,LVM,CP33
ASV032,LVR,CP33
ASV032,PRL,CP33
ASV033,LVM,CP03
ASV033,RBL,CP03
ASV034,LVM,CP31
ASV034,LVR,CP31
ASV034,PRL,CP31
ASV034,RBL,CP31
ASV035,LVM,CP00
ASV035,LVR,CP00
ASV035,PRL,CP00
ASV035,RBL,CP00
ASV036,LVM,CP27
ASV036,LVR,CP27
ASV036,PRL,CP27
ASV036,RBL,CP27
ASV037,LVM,CP01
ASV037,LVR,CP01
ASV037,RBL,CP01
ASV038,LVM,CP00
ASV038,LVR,CP00
ASV038,PRL,CP00
ASV038,RBL,CP00
ASV039,LVM,CP01
ASV039,LVR,CP01
ASV039,PRL,CP01
ASV039,RBL,CP01
ASV040,LVM,CP53
ASV040,LVR,CP53
ASV040,PRL,CP53
ASV040,RBL,CP53
ASV041,LVM,CP00
ASV041,LVR,CP00
ASV041,RBL,CP00
ASV042,LVM,CP08
ASV042,LVR,CP08
ASV042,PRL,CP08
ASV042,RBL,CP08
ASV043,LVM,CP12
ASV043,LVR,CP12
ASV043,PRL,CP12
ASV043,RBL,CP12
ASV044,LVM,CP05
ASV044,LVR,CP05
ASV044,PRL,CP05
ASV044,RBL,CP05
ASV045,LVM,CP01
ASV045,LVR,CP01
ASV045,PRL,CP01
ASV045,RBL,CP01
ASV046,LVM,CP01
ASV046,LVR,CP01
ASV046,PRL,CP01
ASV046,RBL,CP01
ASV047,LVM,CP39
ASV047,LVR,CP39
ASV047,PRL,CP39
ASV048,LVM,CP03
ASV048,LVR,CP03
ASV048,PRL,CP03
ASV048,RBL,CP03
ASV049,LVM,CP00
ASV049,LVR,CP00
ASV049,PRL,CP00
ASV050,LVM,CP00
ASV050,LVR,CP00
ASV050,PRL,CP00
ASV051,LVM,CP06
ASV051,LVR,CP06
ASV051,PRL,CP06
ASV051,RBL,CP06
ASV052,LVM,CP00
ASV052,PRL,CP00
ASV053,LVM,CP09
ASV053,LVR,CP09
ASV053,RBL,CP09
ASV054,LVM,CP19
ASV054,LVR,CP19
ASV054,PRL,CP19
ASV054,RBL,CP19
ASV055,LVM,CP01
ASV055,LVR,CP01
ASV055,PRL,CP01
ASV055,RBL,CP01
ASV056,LVM,CP01
ASV056,LVR,CP01
ASV056,PRL,CP01
ASV056,RBL,CP01
ASV057,LVR,CP35
ASV057,RBL,CP35
ASV058,LVM,CP60
ASV058,LVR,CP60
ASV058,RBL,CP60
ASV059,PRL,CP00
ASV060,LVR,CP03
ASV060,RBL,CP03
ASV061,RBL,CP17
ASV062,LVM,CP00
ASV062,LVR,CP00
ASV062,PRL,CP00
ASV062,RBL,CP00
ASV063,LVM,CP02
ASV063,LVR,CP02
ASV063,RBL,CP02
ASV064,LVM,CP58
ASV064,LVR,CP58
ASV064,PRL,CP58
ASV064,RBL,CP58
ASV065,LVM,CP00
ASV065,LVR,CP00
ASV065,PRL,CP00
ASV065,RBL,CP00
ASV066,LVM,CP01
ASV066,LVR,CP01
ASV066,PRL,CP01
ASV066,RBL,CP01
ASV067,LVM,CP44
ASV067,LVR,CP44
ASV067,PRL,CP44
ASV067,RBL,CP44
ASV068,LVM,CP00
ASV068,LVR,CP00
ASV068,PRL,CP00
ASV068,RBL,CP00
ASV069,LVM,CP16
ASV069,LVR,CP16
ASV069,RBL,CP16
ASV070,LVM,CP01
ASV070,LVR,CP01
ASV070,PRL,CP01
ASV071,LVM,CP00
ASV071,LVR,CP00
ASV071,PRL,CP00
ASV071,RBL,CP00
ASV072,LVM,CP00
ASV072,LVR,CP00
ASV072,PRL,CP00
ASV073,LVM,CP00
ASV073,LVR,CP00
ASV073,PRL,CP00
ASV074,LVM,CP00
ASV074,PRL,CP00
ASV075,LVM,CP04
ASV075,PRL,CP04
ASV076,LVM,CP00
ASV076,LVR,CP00
ASV076,PRL,CP00
ASV077,LVM,CP16
ASV077,LVR,CP16
ASV077,PRL,CP16
ASV078,LVM,CP26
ASV078,LVR,CP26
ASV078,PRL,CP26
ASV078,RBL,CP26
ASV079,LVM,CP32
ASV079,LVR,CP32
ASV079,PRL,CP32
ASV079,RBL,CP32
ASV080,LVM,CP00
ASV080,LVR,CP00
ASV080,RBL,CP00
ASV081,LVM,CP01
ASV081,LVR,CP01
ASV081,PRL,CP01
ASV081,RBL,CP01
ASV082,LVR,CP13
ASV082,RBL,CP13
ASV083,LVM,CP45
ASV083,LVR,CP45
ASV083,PRL,CP45
ASV083,RBL,CP45
ASV084,LVR,CP00
ASV084,PRL,CP00
ASV084,RBL,CP00
ASV085,LVR,CP41
ASV085,PRL,CP41
ASV086,LVM,CP39
ASV086,LVR,CP39
ASV086,PRL,CP39
ASV087,LVM,CP06
ASV087,LVR,CP06
ASV087,PRL,CP06
ASV088,LVM,CP00
ASV088,RBL,CP00
ASV089,LVR,CP08
ASV089,RBL,CP08
ASV090,LVM,CP01
ASV090,LVR,CP01
ASV090,RBL,CP01
ASV091,LVM,CP62
ASV091,LVR,CP62
ASV091,RBL,CP62
ASV092,LVM,CP00
ASV092,LVR,CP00
ASV092,PRL,CP00
ASV093,LVM,CP00
ASV093,LVR,CP00
ASV093,PRL,CP00
ASV093,RBL,CP00
ASV094,LVM,CP00
ASV094,LVR,CP00
ASV094,RBL,CP00
ASV095,LVM,CP04
ASV095,RBL,CP04
ASV096,LVR,CP00
ASV096,RBL,CP00
ASV097,LVR,CP00
ASV097,PRL,CP00
ASV098,RBL,CP00
ASV099,LVR,CP18
ASV100,LVM,CP00
ASV100,LVR,CP00
ASV101,LVM,CP00
ASV101,LVR,CP00
ASV101,RBL,CP00
ASV102,LVM,CP01
ASV102,LVR,CP01
ASV102,RBL,CP01
ASV103,LVM,CP02
ASV103,PRL,CP02
ASV104,RBL,CP11
ASV105,LVM,CP16
ASV105,LVR,CP16
ASV105,RBL,CP16
ASV106,LVM,CP08
ASV106,LVR,CP08
ASV106,RBL,CP08
ASV107,LVM,CP00
ASV107,LVR,CP00
ASV107,RBL,CP00
ASV108,LVM,CP09
ASV108,LVR,CP09
ASV108,PRL,CP09
ASV108,RBL,CP09
ASV109,LVM,CP01
ASV109,LVR,CP01
ASV109,RBL,CP01
ASV110,LVR,CP01
ASV110,PRL,CP01
ASV111,LVM,CP00
ASV111,LVR,CP00
ASV111,PRL,CP00
ASV112,LVM,CP01
ASV112,LVR,CP01
ASV112,RBL,CP01
ASV113,LVM,CP00
ASV113,LVR,CP00
ASV113,PRL,CP00
ASV114,LVM,CP51
ASV114,LVR,CP51
ASV114,PRL,CP51
ASV115,LVM,CP01
ASV115,LVR,CP01
ASV115,PRL,CP01
ASV115,RBL,CP01
ASV116,LVM,CP00
ASV116,LVR,CP00
ASV116,PRL,CP00
ASV116,RBL,CP00
ASV117,LVM,CP14
ASV117,LVR,CP14
ASV117,RBL,CP14
ASV118,LVM,CP00
ASV118,LVR,CP00
ASV119,LVM,CP02
ASV119,RBL,CP02
ASV120,LVR,CP38
ASV120,RBL,CP38
ASV121,LVM,CP00
ASV121,LVR,CP00
ASV121,PRL,CP00
ASV122,LVM,CP02
ASV122,LVR,CP02
ASV122,RBL,CP02
ASV123,LVM,CP32
ASV123,LVR,CP32
ASV123,RBL,CP32
ASV124,LVM,CP02
ASV124,LVR,CP02
ASV124,PRL,CP02
ASV124,RBL,CP02
ASV125,PRL,CP00
ASV126,LVM,CP25
ASV126,LVR,CP25
ASV126,PRL,CP25
ASV127,LVM,CP01
ASV127,LVR,CP01
ASV127,PRL,CP01
ASV128,LVM,CP00
ASV128,LVR,CP00
ASV128,PRL,CP00
ASV128,RBL,CP00
ASV129,LVM,CP20
ASV129,PRL,CP20
ASV129,RBL,CP20
ASV130,PRL,CP03
ASV130,RBL,CP03
ASV131,RBL,CP12
ASV132,LVR,CP00
ASV132,RBL,CP00
ASV133,RBL,CP00
ASV134,LVM,CP17
ASV134,LVR,CP17
ASV134,RBL,CP17
ASV135,LVM,CP00
ASV135,LVR,CP00
ASV135,PRL,CP00
ASV135,RBL,CP00
ASV136,LVM,CP03
ASV136,LVR,CP03
ASV136,PRL,CP03
ASV136,RBL,CP03
ASV137,LVM,CP02
ASV137,LVR,CP02
ASV137,RBL,CP02
ASV138,LVM,CP74
ASV138,LVR,CP74
ASV138,RBL,CP74
ASV139,LVM,CP00
ASV139,LVR,CP00
ASV139,RBL,CP00
ASV140,LVM,CP00
ASV140,PRL,CP00
ASV141,LVM,CP44
ASV141,LVR,CP44
ASV141,RBL,CP44
ASV142,RBL,CP40
ASV143,LVM,CP00
ASV143,RBL,CP00
ASV144,LVM,CP36
ASV144,LVR,CP36
ASV144,PRL,CP36
ASV145,LVM,CP00
ASV145,LVR,CP00
ASV145,PRL,CP00
ASV146,RBL,CP15
ASV147,LVM,CP05
ASV147,LVR,CP05
ASV148,RBL,CP01
ASV149,LVM,CP03
ASV149,LVR,CP03
ASV149,RBL,CP03
ASV150,PRL,CP33
ASV151,LVR,CP05
ASV151,RBL,CP05
ASV152,LVM,CP01
ASV152,LVR,CP01
ASV152,PRL,CP01
ASV152,RBL,CP01
ASV153,RBL,CP03
ASV154,LVM,CP72
ASV154,LVR,CP72
ASV155,RBL,CP00
ASV156,LVM,CP00
ASV156,LVR,CP00
ASV156,PRL,CP00
ASV156,RBL,CP00
ASV157,LVR,CP30
ASV157,RBL,CP30
ASV158,LVR,CP00
ASV158,RBL,CP00
ASV159,LVM,CP01
ASV159,LVR,CP01
ASV160,RBL,CP00
ASV161,LVM,CP03
ASV161,LVR,CP03
ASV162,LVM,CP01
ASV162,LVR,CP01
ASV162,RBL,CP01
ASV163,LVM,CP00
ASV163,LVR,CP00
ASV163,RBL,CP00
ASV164,LVM,CP23
ASV164,RBL,CP23
ASV165,LVM,CP03
ASV165,LVR,CP03
ASV165,RBL,CP03
ASV166,LVM,CP08
ASV166,LVR,CP08
ASV166,RBL,CP08
ASV167,LVM,CP43
ASV167,RBL,CP43
ASV168,RBL,CP10
ASV169,RBL,CP11
ASV170,LVM,CP01
ASV170,LVR,CP01
ASV170,PRL,CP01
ASV171,RBL,CP00
ASV172,LVM,CP00
ASV172,RBL,CP00
ASV173,LVM,CP00
ASV173,LVR,CP00
ASV173,PRL,CP00
ASV174,LVM,CP66
ASV174,LVR,CP66
ASV174,PRL,CP66
ASV174,RBL,CP66
ASV175,LVM,CP07
ASV175,LVR,CP07
ASV176,LVM,CP11
ASV176,LVR,CP11
ASV176,RBL,CP11
ASV177,LVR,CP01
ASV177,PRL,CP01
ASV178,LVM,CP34
ASV178,LVR,CP34
ASV178,RBL,CP34
ASV179,LVM,CP00
ASV179,LVR,CP00
ASV180,LVM,CP03
ASV180,PRL,CP03
ASV181,LVM,CP17
ASV182,LVR,CP11
ASV182,RBL,CP11
ASV183,LVM,CP01
ASV183,LVR,CP01
ASV183,PRL,CP01
ASV184,LVR,CP03
ASV184,RBL,CP03
ASV185,RBL,CP16
ASV186,LVR,CP00
ASV186,PRL,CP00
ASV187,LVM,CP29
ASV187,LVR,CP29
ASV188,LVM,CP12
ASV188,LVR,CP12
ASV188,RBL,CP12
ASV189,LVM,CP01
ASV189,LVR,CP01
ASV189,PRL,CP01
ASV190,LVR,CP02
ASV190,RBL,CP02
ASV191,LVM,CP33
ASV191,LVR,CP33
ASV191,PRL,CP33
ASV192,RBL,CP20
ASV193,LVM,CP23
ASV193,LVR,CP23
ASV194,LVM,CP29
ASV194,LVR,CP29
ASV194,RBL,CP29
ASV195,LVM,CP02
ASV195,PRL,CP02
ASV196,LVM,CP00
ASV196,RBL,CP00
ASV197,LVM,CP10
ASV197,LVR,CP10
ASV198,RBL,CP03
ASV199,LVR,CP00
ASV200,LVM,CP07
ASV200,LVR,CP07
ASV200,PRL,CP07
ASV201,LVR,CP01
ASV201,RBL,CP01
ASV202,LVR,CP00
ASV202,RBL,CP00
ASV203,LVM,CP00
ASV203,PRL,CP00
ASV204,LVR,CP11
ASV204,PRL,CP11
ASV205,LVM,CP02
ASV205,PRL,CP02
ASV206,LVM,CP28
ASV206,RBL,CP28
ASV207,RBL,CP03
ASV208,LVR,CP68
ASV208,PRL,CP68
ASV208,RBL,CP68
ASV209,LVR,CP07
ASV210,LVM,CP03
ASV210,RBL,CP03
ASV211,LVM,CP04
ASV211,LVR,CP04
ASV211,RBL,CP04
ASV212,RBL,CP01
ASV213,RBL,CP00
ASV214,PRL,CP00
ASV215,RBL,CP16
ASV216,LVR,CP07
ASV217,LVR,CP27
ASV217,RBL,CP27
ASV218,LVM,CP23
ASV218,PRL,CP23
ASV219,LVM,CP00
ASV219,PRL,CP00
ASV220,RBL,CP14
ASV221,LVR,CP11
ASV222,LVM,CP11
ASV222,RBL,CP11
ASV223,RBL,CP13
ASV224,LVM,CP02
ASV224,PRL,CP02
ASV225,LVM,CP02
ASV225,LVR,CP02
ASV226,LVM,CP21
ASV226,LVR,CP21
ASV227,LVR,CP09
ASV228,LVR,CP64
ASV229,PRL,CP01
ASV229,RBL,CP01
ASV230,LVM,CP02
ASV230,LVR,CP02
ASV231,LVM,CP09
ASV231,LVR,CP09
ASV231,PRL,CP09
ASV232,RBL,CP22
ASV233,LVM,CP00
ASV233,PRL,CP00
ASV234,LVR,CP00
ASV234,RBL,CP00
ASV235,LVM,CP00
ASV235,PRL,CP00
ASV236,LVR,CP42
ASV236,RBL,CP42
ASV237,LVM,CP60
ASV237,RBL,CP60
ASV238,LVM,CP11
ASV238,LVR,CP11
ASV239,LVM,CP05
ASV239,LVR,CP05
ASV240,LVM,CP01
ASV240,RBL,CP01
ASV241,RBL,CP00
ASV242,LVM,CP10
ASV242,LVR,CP10
ASV243,PRL,CP00
ASV244,RBL,CP05
ASV245,LVR,CP37
ASV246,LVR,CP00
ASV246,RBL,CP00
ASV247,LVR,CP01
ASV247,PRL,CP01
ASV247,RBL,CP01
ASV248,RBL,CP00
ASV249,LVM,CP25
ASV250,LVM,CP63
ASV250,LVR,CP63
ASV250,PRL,CP63
ASV251,LVR,CP59
ASV251,PRL,CP59
ASV251,RBL,CP59
ASV252,RBL,CP12
ASV253,RBL,CP11
ASV254,LVM,CP05
ASV254,LVR,CP05
ASV255,LVM,CP01
ASV255,LVR,CP01
ASV255,RBL,CP01
ASV256,LVM,CP01
ASV256,PRL,CP01
ASV257,LVR,CP00
ASV257,RBL,CP00
ASV258,LVR,CP00
ASV259,LVM,CP00
ASV259,LVR,CP00
ASV260,LVM,CP00
ASV260,LVR,CP00
ASV261,LVR,CP43
ASV262,LVM,CP24
ASV262,RBL,CP24
ASV263,LVM,CP08
ASV263,LVR,CP08
ASV264,RBL,CP46
ASV265,LVR,CP02
ASV266,RBL,CP04
ASV267,RBL,CP00
ASV268,RBL,CP34
ASV269,LVM,CP71
ASV269,PRL,CP71
ASV270,LVM,CP66
ASV271,LVM,CP41
ASV271,LVR,CP41
ASV271,RBL,CP41
ASV272,LVR,CP15
ASV273,LVM,CP74
ASV273,LVR,CP74
ASV273,RBL,CP74
ASV274,RBL,CP22
ASV275,RBL,CP49
ASV276,LVR,CP10
ASV277,LVM,CP00
ASV277,PRL,CP00
ASV278,LVM,CP25
ASV278,LVR,CP25
ASV279,LVM,CP65
ASV279,PRL,CP65
ASV280,LVR,CP42
ASV280,RBL,CP42
ASV281,LVM,CP20
ASV281,LVR,CP20
ASV282,RBL,CP03
ASV283,LVM,CP02
ASV284,LVM,CP03
ASV284,LVR,CP03
ASV285,LVM,CP01
ASV285,LVR,CP01
ASV286,RBL,CP03
ASV287,RBL,CP00
ASV288,LVM,CP00
ASV288,PRL,CP00
ASV289,LVR,CP14
ASV289,PRL,CP14
ASV290,LVM,CP02
ASV290,LVR,CP02
ASV291,LVR,CP10
ASV292,RBL,CP09
ASV293,LVM,CP02
ASV293,RBL,CP02
ASV294,LVM,CP09
ASV294,RBL,CP09
ASV295,RBL,CP19
ASV296,LVM,CP04
ASV296,LVR,CP04
ASV297,LVM,CP26
ASV297,LVR,CP26
ASV298,RBL,CP28
ASV299,LVM,CP20
ASV299,LVR,CP20
ASV300,LVR,CP48
ASV300,RBL,CP48
ASV301,LVM,CP01
ASV301,LVR,CP01
ASV302,LVR,CP01
ASV303,LVR,CP01
ASV304,LVM,CP00
ASV304,PRL,CP00
ASV305,LVM,CP15
ASV306,LVR,CP34
ASV307,LVM,CP10
ASV307,LVR,CP10
ASV308,RBL,CP29
ASV309,LVR,CP02
ASV309,RBL,CP02
ASV310,LVM,CP09
ASV311,RBL,CP05
ASV312,LVM,CP05
ASV312,LVR,CP05
ASV313,LVR,CP03
ASV313,PRL,CP03
ASV314,LVR,CP01
ASV314,PRL,CP01
ASV315,LVM,CP01
ASV315,LVR,CP01
ASV316,RBL,CP00
ASV317,LVR,CP00
ASV318,RBL,CP24
ASV319,LVM,CP12
ASV319,RBL,CP12
ASV320,RBL,CP11
ASV321,LVM,CP01
ASV321,PRL,CP01
ASV321,RBL,CP01
ASV322,RBL,CP32
ASV323,LVM,CP00
ASV323,LVR,CP00
ASV324,LVM,CP02
ASV324,LVR,CP02
ASV325,LVM,CP62
ASV325,PRL,CP62
ASV325,RBL,CP62
ASV326,RBL,CP41
ASV327,LVM,CP00
ASV327,LVR,CP00
ASV328,LVM,CP00
ASV328,LVR,CP00
ASV328,RBL,CP00
ASV329,LVM,CP07
ASV330,RBL,CP22
ASV331,LVR,CP01
ASV331,RBL,CP01
ASV332,LVR,CP00
ASV333,RBL,CP00
ASV334,LVM,CP00
ASV334,RBL,CP00
ASV335,RBL,CP00
ASV336,LVM,CP00
ASV336,LVR,CP00
ASV336,PRL,CP00
ASV337,LVR,CP54
ASV338,LVR,CP09
ASV339,LVR,CP04
ASV340,LVR,CP00
ASV341,LVR,CP34
ASV342,RBL,CP07
ASV343,LVR,CP01
ASV343,PRL,CP01
ASV344,RBL,CP00
ASV345,RBL,CP16
ASV346,LVM,CP00
ASV346,LVR,CP00
ASV347,LVM,CP00
ASV347,LVR,CP00
ASV348,RBL,CP07
ASV349,LVM,CP03
ASV349,RBL,CP03
ASV350,LVM,CP09
ASV350,LVR,CP09
ASV351,RBL,CP07
ASV352,RBL,CP02
ASV353,LVM,CP67
ASV354,LVM,CP05
ASV354,LVR,CP05
ASV355,LVM,CP05
ASV356,LVM,CP27
ASV357,LVM,CP00
ASV357,LVR,CP00
ASV358,LVR,CP04
ASV359,RBL,CP01
ASV360,LVM,CP00
ASV360,RBL,CP00
ASV361,LVR,CP00
ASV361,RBL,CP00
ASV362,LVM,CP00
ASV362,LVR,CP00
ASV363,RBL,CP00
ASV364,LVR,CP02
ASV365,RBL,CP24
ASV366,RBL,CP57
ASV367,LVM,CP10
ASV367,LVR,CP10
ASV368,LVM,CP56
ASV368,RBL,CP56
ASV369,LVM,CP25
ASV369,LVR,CP25
ASV370,RBL,CP02
ASV371,LVM,CP10
ASV372,LVM,CP02
ASV372,LVR,CP02
ASV373,RBL,CP08
ASV374,RBL,CP01
ASV375,LVR,CP01
ASV376,RBL,CP07
ASV377,LVM,CP00
ASV377,PRL,CP00
ASV378,LVR,CP00
ASV379,LVM,CP00
ASV380,LVM,CP00
ASV380,LVR,CP00
ASV381,RBL,CP00
ASV382,LVR,CP00
ASV383,RBL,CP00
ASV384,LVR,CP04
ASV385,RBL,CP03
ASV386,LVM,CP12
ASV386,LVR,CP12
ASV387,RBL,CP12
ASV388,LVM,CP06
ASV389,LVM,CP06
ASV389,LVR,CP06
ASV390,RBL,CP05
ASV391,RBL,CP09
ASV392,RBL,CP08
ASV393,LVR,CP08
ASV394,LVR,CP01
ASV395,LVR,CP00
ASV396,LVR,CP00
ASV397,LVM,CP72
ASV398,PRL,CP00
ASV399,LVR,CP14
ASV400,LVR,CP02
ASV401,LVR,CP00
ASV401,RBL,CP00
ASV402,LVR,CP00
ASV403,LVM,CP15
ASV404,LVM,CP15
ASV405,LVM,CP39
ASV406,LVR,CP50
ASV407,RBL,CP01
ASV408,RBL,CP01
ASV409,PRL,CP01
ASV410,LVM,CP01
ASV410,LVR,CP01
ASV411,LVR,CP00
ASV411,PRL,CP00
ASV412,PRL,CP00
ASV413,RBL,CP00
ASV414,LVM,CP00
ASV415,LVM,CP00
ASV416,LVM,CP00
ASV416,PRL,CP00
ASV417,LVR,CP02
ASV418,LVR,CP02
ASV419,LVM,CP00
ASV420,LVM,CP00
ASV420,RBL,CP00
ASV421,LVR,CP16
ASV422,LVM,CP04
ASV423,RBL,CP16
ASV424,LVR,CP13
ASV425,LVM,CP05
ASV425,PRL,CP05
ASV426,LVM,CP19
ASV426,LVR,CP19
ASV427,RBL,CP28
ASV428,RBL,CP08
ASV429,RBL,CP01
ASV430,RBL,CP00
ASV431,RBL,CP00
ASV432,PRL,CP00
ASV433,LVR,CP00
ASV434,RBL,CP70
ASV435,LVM,CP00
ASV436,LVR,CP00
ASV437,LVM,CP00
ASV437,PRL,CP00
ASV438,LVM,CP63
ASV438,PRL,CP63
ASV439,RBL,CP00
ASV440,LVR,CP55
ASV441,LVR,CP00
ASV442,LVR,CP04
ASV443,LVM,CP04
ASV444,LVR,CP07
ASV445,LVR,CP12
ASV446,LVM,CP22
ASV447,LVM,CP13
ASV447,RBL,CP13
ASV448,LVM,CP06
ASV449,LVM,CP03
ASV450,LVR,CP00
ASV451,LVM,CP06
ASV451,LVR,CP06
ASV452,PRL,CP04
ASV453,LVM,CP01
ASV454,LVM,CP03
ASV455,LVM,CP35
ASV456,LVR,CP00
ASV456,PRL,CP00
ASV457,PRL,CP00
ASV458,LVM,CP00
ASV459,LVM,CP00
ASV460,PRL,CP69
ASV461,LVM,CP00
ASV462,PRL,CP02
ASV463,PRL,CP00
ASV464,PRL,CP00
ASV465,PRL,CP00
ASV466,LVR,CP20
ASV467,LVM,CP25
ASV468,LVM,CP00
ASV469,LVR,CP10
ASV470,LVM,CP52
ASV470,PRL,CP52
ASV471,PRL,CP31
ASV471,RBL,CP31
ASV472,LVR,CP14
ASV473,LVR,CP07
ASV474,LVR,CP29
ASV475,PRL,CP20
ASV476,LVR,CP06
ASV477,LVR,CP04
ASV478,LVR,CP12
ASV479,LVM,CP04
ASV480,LVM,CP07
ASV481,LVR,CP37
ASV482,LVR,CP37
ASV483,LVM,CP36
ASV484,PRL,CP22
ASV485,PRL,CP08
ASV486,LVR,CP26
ASV487,RBL,CP70
ASV488,PRL,CP00
ASV489,LVR,CP00
ASV490,LVM,CP67
ASV491,LVR,CP00
ASV492,PRL,CP00
ASV493,LVR,CP02
ASV494,LVR,CP07
ASV495,PRL,CP02
ASV496,LVR,CP14
ASV497,LVR,CP42
ASV498,LVM,CP20
ASV499,LVR,CP15
ASV500,LVM,CP10
ASV501,LVR,CP18
ASV502,LVR,CP18
ASV503,LVR,CP30
ASV504,RBL,CP15
ASV505,LVR,CP09
ASV506,LVR,CP06
ASV507,LVR,CP06
ASV508,LVM,CP17
ASV509,LVR,CP04
ASV510,LVM,CP22
ASV511,LVR,CP18
ASV512,LVR,CP21
ASV513,LVM,CP21
ASV514,LVR,CP15
ASV515,LVR,CP46
ASV516,LVM,CP01
ASV517,LVM,CP01
ASV518,LVM,CP01
ASV519,LVR,CP57
ASV520,LVR,CP45
ASV521,LVR,CP00
ASV522,LVR,CP00
ASV523,RBL,CP00
ASV524,LVR,CP73
ASV525,LVM,CP00
ASV526,LVR,CP00
ASV527,PRL,CP00
ASV528,PRL,CP00
ASV529,PRL,CP00
ASV530,LVM,CP14
ASV531,LVM,CP61
ASV532,PRL,CP43
ASV533,PRL,CP02
ASV534,LVM,CP24
ASV535,LVM,CP00
ASV536,LVM,CP02
ASV537,PRL,CP00
ASV538,LVR,CP56
ASV539,LVM,CP54
ASV540,LVM,CP00
ASV541,RBL,CP07
ASV542,PRL,CP14
ASV543,LVR,CP00
ASV544,LVM,CP00
ASV545,LVR,CP09
ASV546,LVR,CP38
ASV547,PRL,CP12
ASV548,RBL,CP50
ASV549,LVM,CP13
ASV550,LVM,CP13
ASV551,LVM,CP03
ASV552,LVR,CP03
ASV553,LVM,CP21
ASV554,LVM,CP10
ASV555,LVR,CP25
ASV556,LVR,CP06
ASV557,LVR,CP17
ASV558,LVR,CP26
ASV559,LVR,CP28
ASV560,LVR,CP48
ASV561,RBL,CP04
ASV562,LVR,CP01
ASV563,LVM,CP01
ASV564,LVM,CP01
ASV565,LVM,CP01
ASV566,LVM,CP01
ASV567,PRL,CP00
ASV568,LVR,CP00
ASV569,RBL,CP00
ASV570,PRL,CP00
ASV571,LVM,CP00
ASV572,LVM,CP00
ASV573,PRL,CP00
ASV574,LVM,CP68
ASV575,PRL,CP18
ASV576,LVM,CP61
ASV577,LVM,CP00
